tanggal,provinsi,bawang_merah_ton,bawang_putih_ton,cabai_rawit_ton
2017-01-01,Aceh,8845.0,140.0,53800.0
2017-01-01,Sumatera Utara,16103.0,56.0,31727.0
2017-01-01,Sumatera Barat,95534.0,686.0,22872.0
2017-01-01,Riau,262.0,2.0,10902.0
2017-01-01,Jambi,8941.0,0.0,8352.0
2017-01-01,Sumatera Selatan,1376.0,0.0,15826.0
2017-01-01,Bengkulu,478.0,0.0,7823.0
2017-01-01,Lampung,2821.0,1.0,14705.0
2017-01-01,Kep. Bangka Belitung,13.0,0.0,1729.0
2017-01-01,Kep. Riau,1.0,0.0,1061.0
2017-01-01,Dki Jakarta,0.0,0.0,8.0
2017-01-01,Jawa Barat,166865.0,1395.0,134910.0
2017-01-01,Jawa Tengah,476337.0,6043.0,148139.0
2017-01-01,Di Yogyakarta,13980.0,0.0,8386.0
2017-01-01,Jawa Timur,306316.0,653.0,339022.0
2017-01-01,Banten,994.0,0.0,4572.0
2017-01-01,Bali,20287.0,0.0,31464.0
2017-01-01,Nusa Tenggara Barat,195458.0,10245.0,156922.0
2017-01-01,Nusa Tenggara Timur,7772.0,216.0,5228.0
2017-01-01,Kalimantan Barat,136.0,0.0,4719.0
2017-01-01,Kalimantan Tengah,302.0,0.0,2774.0
2017-01-01,Kalimantan Selatan,2846.0,0.0,11849.0
2017-01-01,Kalimantan Timur,564.0,0.0,6040.0
2017-01-01,Kalimantan Utara,74.0,0.0,2707.0
2017-01-01,Sulawesi Utara,2880.0,1.0,16915.0
2017-01-01,Sulawesi Tengah,8651.0,0.0,21230.0
2017-01-01,Sulawesi Selatan,129181.0,0.0,45770.0
2017-01-01,Sulawesi Tenggara,372.0,1.0,3313.0
2017-01-01,Gorontalo,1282.0,0.0,25126.0
2017-01-01,Sulawesi Barat,279.0,0.0,2651.0
2017-01-01,Maluku,592.0,0.0,4039.0
2017-01-01,Maluku Utara,115.0,71.0,1262.0
2017-01-01,Papua Barat,12.0,0.0,889.0
2017-01-01,Papua,487.0,0.0,6425.0
2017-01-01,Indonesia,1470155.0,19510.0,1153155.0
2018-01-01,Aceh,6818.0,32.0,62168.0
2018-01-01,Sumatera Utara,16337.0,59.0,39825.0
2018-01-01,Sumatera Barat,113865.0,1052.0,25178.0
2018-01-01,Riau,186.0,,12691.0
2018-01-01,Jambi,10059.0,41.0,8273.0
2018-01-01,Sumatera Selatan,1443.0,,13449.0
2018-01-01,Bengkulu,911.0,20.0,11353.0
2018-01-01,Lampung,3608.0,,14649.0
2018-01-01,Kep. Bangka Belitung,86.0,,2036.0
2018-01-01,Kep. Riau,1.0,,1716.0
2018-01-01,Dki Jakarta,,,
2018-01-01,Jawa Barat,167769.0,1327.0,131417.0
2018-01-01,Jawa Tengah,445585.0,19546.0,141771.0
2018-01-01,Di Yogyakarta,14950.0,,10147.0
2018-01-01,Jawa Timur,367031.0,3508.0,453338.0
2018-01-01,Banten,880.0,,5225.0
2018-01-01,Bali,24267.0,108.0,31655.0
2018-01-01,Nusa Tenggara Barat,212885.0,13117.0,210530.0
2018-01-01,Nusa Tenggara Timur,4542.0,453.0,5248.0
2018-01-01,Kalimantan Barat,85.0,,4166.0
2018-01-01,Kalimantan Tengah,696.0,,3639.0
2018-01-01,Kalimantan Selatan,1411.0,,12672.0
2018-01-01,Kalimantan Timur,828.0,,6797.0
2018-01-01,Kalimantan Utara,95.0,,3298.0
2018-01-01,Sulawesi Utara,3740.0,,16470.0
2018-01-01,Sulawesi Tengah,8363.0,20.0,26091.0
2018-01-01,Sulawesi Selatan,92392.0,3.0,36568.0
2018-01-01,Sulawesi Tenggara,486.0,,4485.0
2018-01-01,Gorontalo,1409.0,,25695.0
2018-01-01,Sulawesi Barat,545.0,16.0,2659.0
2018-01-01,Maluku,1042.0,,3733.0
2018-01-01,Maluku Utara,261.0,,1097.0
2018-01-01,Papua Barat,142.0,,625.0
2018-01-01,Papua,720.0,,6944.0
2018-01-01,Indonesia,1503438.0,39302.0,1335608.0
2019-01-01,Aceh,8840.0,288.0,61887.0
2019-01-01,Sumatera Utara,18072.0,975.0,49246.0
2019-01-01,Sumatera Barat,122399.0,1866.0,31782.0
2019-01-01,Riau,507.0,0.0,8120.0
2019-01-01,Jambi,9686.0,395.0,9880.0
2019-01-01,Sumatera Selatan,1390.0,157.0,11014.0
2019-01-01,Bengkulu,523.0,137.0,11118.0
2019-01-01,Lampung,3634.0,49.0,12796.0
2019-01-01,Kep. Bangka Belitung,170.0,0.0,2002.0
2019-01-01,Kep. Riau,95.0,0.0,2339.0
2019-01-01,Dki Jakarta,0.0,0.0,0.0
2019-01-01,Jawa Barat,173463.0,6698.0,128494.0
2019-01-01,Jawa Tengah,481890.0,36179.0,148750.0
2019-01-01,Di Yogyakarta,16999.0,0.0,10040.0
2019-01-01,Jawa Timur,407877.0,6935.0,536098.0
2019-01-01,Banten,1545.0,0.0,5019.0
2019-01-01,Bali,19687.0,1563.0,28656.0
2019-01-01,Nusa Tenggara Barat,188255.0,30453.0,164773.0
2019-01-01,Nusa Tenggara Timur,8254.0,868.0,8816.0
2019-01-01,Kalimantan Barat,53.0,0.0,5731.0
2019-01-01,Kalimantan Tengah,396.0,0.0,5864.0
2019-01-01,Kalimantan Selatan,1143.0,1.0,13768.0
2019-01-01,Kalimantan Timur,173.0,0.0,8029.0
2019-01-01,Kalimantan Utara,139.0,0.0,3821.0
2019-01-01,Sulawesi Utara,3139.0,1896.0,14760.0
2019-01-01,Sulawesi Tengah,6508.0,55.0,22632.0
2019-01-01,Sulawesi Selatan,101762.0,282.0,26115.0
2019-01-01,Sulawesi Tenggara,390.0,0.0,3669.0
2019-01-01,Gorontalo,629.0,0.0,20580.0
2019-01-01,Sulawesi Barat,507.0,0.0,2663.0
2019-01-01,Maluku,736.0,0.0,3440.0
2019-01-01,Maluku Utara,624.0,0.0,4650.0
2019-01-01,Papua Barat,184.0,0.0,3277.0
2019-01-01,Papua,578.0,19.0,4388.0
2019-01-01,Indonesia,1580247.0,88816.0,1374217.0
2020-01-01,Aceh,11246.0,796.0,64782.0
2020-01-01,Sumatera Utara,29222.0,1339.0,61160.0
2020-01-01,Sumatera Barat,153770.0,4906.0,33356.0
2020-01-01,Riau,263.0,0.0,8627.0
2020-01-01,Jambi,11977.0,502.0,13588.0
2020-01-01,Sumatera Selatan,934.0,115.0,11645.0
2020-01-01,Bengkulu,1153.0,971.0,11476.0
2020-01-01,Lampung,2105.0,808.0,10558.0
2020-01-01,Kep. Bangka Belitung,157.0,0.0,3386.0
2020-01-01,Kep. Riau,123.0,0.0,2230.0
2020-01-01,Dki Jakarta,0.0,0.0,0.0
2020-01-01,Jawa Barat,164827.0,3253.0,130838.0
2020-01-01,Jawa Tengah,611165.0,33304.0,159099.0
2020-01-01,Di Yogyakarta,18811.0,1.0,15052.0
2020-01-01,Jawa Timur,454584.0,5898.0,684943.0
2020-01-01,Banten,1404.0,0.0,5861.0
2020-01-01,Bali,14207.0,1329.0,35331.0
2020-01-01,Nusa Tenggara Barat,188740.0,24609.0,98941.0
2020-01-01,Nusa Tenggara Timur,10424.0,974.0,10468.0
2020-01-01,Kalimantan Barat,227.0,0.0,6133.0
2020-01-01,Kalimantan Tengah,79.0,0.0,6124.0
2020-01-01,Kalimantan Selatan,462.0,0.0,15616.0
2020-01-01,Kalimantan Timur,267.0,0.0,9081.0
2020-01-01,Kalimantan Utara,90.0,0.0,3330.0
2020-01-01,Sulawesi Utara,4937.0,875.0,22414.0
2020-01-01,Sulawesi Tengah,5725.0,934.0,25042.0
2020-01-01,Sulawesi Selatan,124381.0,307.0,24052.0
2020-01-01,Sulawesi Tenggara,655.0,0.0,3801.0
2020-01-01,Gorontalo,476.0,0.0,14729.0
2020-01-01,Sulawesi Barat,631.0,886.0,1399.0
2020-01-01,Maluku,1106.0,0.0,5027.0
2020-01-01,Maluku Utara,951.0,0.0,4527.0
2020-01-01,Papua Barat,136.0,0.0,2351.0
2020-01-01,Papua,209.0,0.0,3436.0
2020-01-01,Indonesia,1815445.0,81805.0,1508404.0
2021-01-01,Aceh,10136.0,30.0,51686.0
2021-01-01,Sumatera Utara,53962.0,805.0,78663.0
2021-01-01,Sumatera Barat,200366.0,1839.0,35118.0
2021-01-01,Riau,329.0,,6694.0
2021-01-01,Jambi,13264.0,132.0,11526.0
2021-01-01,Sumatera Selatan,1125.0,36.0,11562.0
2021-01-01,Bengkulu,990.0,252.0,16278.0
2021-01-01,Lampung,1762.0,112.0,10921.0
2021-01-01,Kep. Bangka Belitung,208.0,,3954.0
2021-01-01,Kep. Riau,33.0,,1627.0
2021-01-01,Dki Jakarta,2.0,,1.0
2021-01-01,Jawa Barat,170650.0,963.0,137456.0
2021-01-01,Jawa Tengah,564255.0,25545.0,179287.0
2021-01-01,Di Yogyakarta,29809.0,,15933.0
2021-01-01,Jawa Timur,500992.0,4220.0,578883.0
2021-01-01,Banten,1190.0,1.0,3993.0
2021-01-01,Bali,23215.0,1040.0,29175.0
2021-01-01,Nusa Tenggara Barat,222620.0,9223.0,62539.0
2021-01-01,Nusa Tenggara Timur,11430.0,579.0,9076.0
2021-01-01,Kalimantan Barat,104.0,,6332.0
2021-01-01,Kalimantan Tengah,34.0,,6961.0
2021-01-01,Kalimantan Selatan,389.0,,11758.0
2021-01-01,Kalimantan Timur,72.0,,8367.0
2021-01-01,Kalimantan Utara,88.0,,5819.0
2021-01-01,Sulawesi Utara,4986.0,11.0,17371.0
2021-01-01,Sulawesi Tengah,4652.0,211.0,22199.0
2021-01-01,Sulawesi Selatan,183210.0,47.0,26423.0
2021-01-01,Sulawesi Tenggara,1015.0,,4287.0
2021-01-01,Gorontalo,346.0,6.0,13032.0
2021-01-01,Sulawesi Barat,693.0,36.0,3336.0
2021-01-01,Maluku,1013.0,,3596.0
2021-01-01,Maluku Utara,1231.0,,3733.0
2021-01-01,Papua Barat,118.0,5.0,3808.0
2021-01-01,Papua,304.0,,5054.0
2021-01-01,Indonesia,2004590.0,45092.0,1386447.0
2022-01-01,Aceh,10070.0,10.0,65308.0
2022-01-01,Sumatera Utara,64835.0,21.0,87012.0
2022-01-01,Sumatera Barat,207376.0,791.0,26656.0
2022-01-01,Riau,195.0,0.0,7429.0
2022-01-01,Jambi,16050.0,13.0,12429.0
2022-01-01,Sumatera Selatan,1130.0,467.0,9461.0
2022-01-01,Bengkulu,1023.0,285.0,21427.0
2022-01-01,Lampung,1727.0,3.0,11193.0
2022-01-01,Kep. Bangka Belitung,79.0,0.0,3710.0
2022-01-01,Kep. Riau,41.0,0.0,1773.0
2022-01-01,Dki Jakarta,1.0,0.0,0.0
2022-01-01,Jawa Barat,193318.0,417.0,149053.0
2022-01-01,Jawa Tengah,556510.0,21620.0,242303.0
2022-01-01,Di Yogyakarta,22307.0,0.0,15198.0
2022-01-01,Jawa Timur,478393.0,855.0,646740.0
2022-01-01,Banten,1372.0,0.0,3910.0
2022-01-01,Bali,31492.0,689.0,28318.0
2022-01-01,Nusa Tenggara Barat,201155.0,4761.0,50078.0
2022-01-01,Nusa Tenggara Timur,7584.0,483.0,19881.0
2022-01-01,Kalimantan Barat,44.0,0.0,6193.0
2022-01-01,Kalimantan Tengah,112.0,0.0,5419.0
2022-01-01,Kalimantan Selatan,246.0,0.0,11764.0
2022-01-01,Kalimantan Timur,114.0,0.0,7778.0
2022-01-01,Kalimantan Utara,7.0,0.0,5875.0
2022-01-01,Sulawesi Utara,5020.0,0.0,19006.0
2022-01-01,Sulawesi Tengah,3454.0,116.0,25389.0
2022-01-01,Sulawesi Selatan,175160.0,1.0,23761.0
2022-01-01,Sulawesi Tenggara,449.0,0.0,3915.0
2022-01-01,Gorontalo,418.0,0.0,14805.0
2022-01-01,Sulawesi Barat,748.0,48.0,3496.0
2022-01-01,Maluku,759.0,0.0,3847.0
2022-01-01,Maluku Utara,805.0,0.0,2873.0
2022-01-01,Papua Barat,78.0,3.0,4107.0
2022-01-01,Papua,286.0,0.0,4335.0
2022-01-01,Indonesia,1982360.0,30582.0,1544441.0
